Player,Nation,Team,Position,Age,Transfer Fee
Flynn Downes,ENG,Southampton,MF,26-102,€9.2M
Gabriel Magalhães,BRA,Arsenal,DF,27-134,€75.5M
Gabriel Martinelli,BRA,Arsenal,"FW,MF",23-318,
Georginio Rutter,FRA,Brighton,"MF,FW",23-012,€41.3M
Guglielmo Vicario,ITA,Tottenham,GK,28-207,€41.6M
Guido Rodríguez,ARG,West Ham,MF,31-020,€13.6M
Harry Maguire,ENG,Manchester Utd,DF,32-058,€13.7M
Harry Wilson,WAL,Fulham,"FW,MF",28-041,€14.5M
Harry Winks,ENG,Leicester City,MF,29-089,€11.4M
Harvey Barnes,ENG,Newcastle Utd,FW,27-144,€41.5M
Ibrahima Konaté,FRA,Liverpool,DF,25-342,€57.2M
Idrissa Gana Gueye,SEN,Everton,MF,35-218,
Igor,BRA,Brighton,DF,27-084,
Iliman Ndiaye,SEN,Everton,FW,25-057,€25.7M
Illia Zabarnyi,UKR,Bournemouth,DF,22-243,
Ismaila Sarr,SEN,Crystal Palace,"MF,FW",27-066,
Issa Diop,FRA,Fulham,DF,28-113,€17.9M
Jack Clarke,ENG,Ipswich Town,"FW,MF",24-160,€19.4M
Jack Harrison,ENG,Everton,FW,28-163,€17.7M
Jack Hinshelwood,ENG,Brighton,"DF,MF",20-021,€9.2M
Jack Stephens,ENG,Southampton,DF,31-095,€1.4M
Jacob Greaves,ENG,Ipswich Town,DF,24-232,€25.1M
Jacob Murphy,ENG,Newcastle Utd,FW,30-067,€17.9M
Jacob Ramsey,ENG,Aston Villa,"FW,MF",23-339,€45.8M
Jadon Sancho,ENG,Chelsea,FW,25-038,€37.7M
Jake O'Brien,IRL,Everton,DF,23-352,€19.7M
James Garner,ENG,Everton,"MF,DF",24-050,€23.2M
James Justin,ENG,Leicester City,DF,27-068,€17M
James Maddison,ENG,Tottenham,MF,28-160,€58.1M
James Tarkowski,ENG,Everton,DF,32-164,€11.8M
Jamie Vardy,ENG,Leicester City,FW,38-111,€1M
Jan Bednarek,POL,Southampton,DF,29-020,€12.9M
Jan Paul van Hecke,NED,Brighton,DF,24-328,€42.4M
Jannik Vestergaard,DEN,Leicester City,DF,32-272,€2M
Jarrad Branthwaite,ENG,Everton,DF,22-309,€32.2M
Jarrod Bowen,ENG,West Ham,"FW,MF",28-133,€48.1M
Jean-Clair Todibo,FRA,West Ham,DF,25-123,€36M
Jean-Philippe Mateta,FRA,Crystal Palace,FW,27-308,€31.7M
Jean-Ricner Bellegarde,FRA,Wolves,"MF,FW",26-309,€21.3M
Jefferson Lerma,COL,Crystal Palace,"MF,DF",30-189,€13.6M
Jens Cajuste,SWE,Ipswich Town,MF,25-265,€15.5M
Jeremy Doku,BEL,Manchester City,"FW,MF",22-340,
Jesper Lindstrøm,DEN,Everton,FW,25-062,€24.4M
Joachim Andersen,DEN,Fulham,DF,28-336,€31.4M
Joe Aribo,NGA,Southampton,"MF,DF",28-285,€6.9M
Joe Willock,ENG,Newcastle Utd,"MF,FW",25-255,€35.8M
Joelinton,BRA,Newcastle Utd,"MF,FW",28-261,€47.5M
John McGinn,SCO,Aston Villa,"MF,FW",30-196,€22.5M
Jordan Ayew,GHA,Leicester City,"FW,MF",33-233,€4.2M
Jordan Pickford,ENG,Everton,GK,31-056,€22.6M
Joshua Zirkzee,NED,Manchester Utd,"FW,MF",23-345,€43.7M
José Sá,POR,Wolves,GK,32-105,€8.5M
João Gomes,BRA,Wolves,MF,24-079,€51.1M
João Pedro,BRA,Brighton,"FW,MF",23-218,€61.3M
Joël Veltman,NED,Brighton,DF,33-107,€5.7M
Joško Gvardiol,CRO,Manchester City,DF,23-099,
Jurriën Timber,NED,Arsenal,DF,23-319,
Justin Kluivert,NED,Bournemouth,"MF,FW",25-362,€44.8M
Jørgen Strand Larsen,NOR,Wolves,FW,25-085,€30.8M
Kai Havertz,GER,Arsenal,"FW,MF",25-325,€70.5M
Kalvin Phillips,ENG,Ipswich Town,MF,29-151,€17.2M
Kamaldeen Sulemana,GHA,Southampton,"FW,MF",23-076,€18.5M
Kaoru Mitoma,JPN,Brighton,"FW,MF",27-347,€50.6M
Keane Lewis-Potter,ENG,Brentford,"DF,FW",24-069,€27.1M
Kenny Tete,NED,Fulham,DF,29-205,€14M
Kepa Arrizabalaga,ESP,Bournemouth,GK,30-211,€12M
Kevin De Bruyne,BEL,Manchester City,"MF,FW",33-308,€20.1M
Kevin Schade,GER,Brentford,FW,23-156,€29.7M
Kieran Trippier,ENG,Newcastle Utd,DF,34-225,€5.1M
Kobbie Mainoo,ENG,Manchester Utd,MF,20-013,€66M
Konstantinos Mavropanos,GRE,West Ham,DF,27-142,€19.1M
Kristoffer Ajer,NOR,Brentford,DF,27-015,€21.5M
Kyle Walker,ENG,Manchester City,DF,34-339,
Kyle Walker-Peters,ENG,Southampton,DF,28-019,€16.6M
Leandro Trossard,BEL,Arsenal,FW,30-149,€31.8M
Leif Davis,ENG,Ipswich Town,DF,25-110,€28.2M
Leny Yoro,FRA,Manchester Utd,DF,19-170,€71M
Leon Bailey,JAM,Aston Villa,"FW,MF",27-266,€39.2M
Lesley Ugochukwu,FRA,Southampton,MF,21-037,€27M
Levi Colwill,ENG,Chelsea,DF,22-065,€56.6M
Lewis Cook,ENG,Bournemouth,"MF,DF",28-088,€19.3M
Lewis Dunk,ENG,Brighton,DF,33-162,€7.4M
Lewis Hall,ENG,Newcastle Utd,DF,20-236,€34.5M
Liam Delap,ENG,Ipswich Town,FW,22-083,€37M
Lisandro Martínez,ARG,Manchester Utd,DF,27-104,€49.2M
Lucas Bergvall,SWE,Tottenham,MF,19-089,€32.6M
Lucas Digne,FRA,Aston Villa,DF,31-286,€13.6M
Lucas Paquetá,BRA,West Ham,"MF,FW",27-248,€71.2M
Luis Díaz,COL,Liverpool,FW,28-109,€71M
Luke Woolfenden,ENG,Ipswich Town,DF,26-193,€2M
Mads Hermansen,DEN,Leicester City,GK,24-295,€19.8M
Mads Roerslev,DEN,Brentford,DF,25-312,
Malo Gusto,FRA,Chelsea,DF,21-348,€32.8M
Manuel Akanji,SUI,Manchester City,DF,29-287,€42.8M
Manuel Ugarte Ribeiro,URU,Manchester Utd,MF,24-021,
Marc Cucurella,ESP,Chelsea,DF,26-284,€39.4M
